Title,Text
꾸안꾸의 기본 데님 스커트,라운드 니트에 데님 스커트를 매치하여 캐주얼룩을 연출하였다. 한낮에는 선글라스를 매치해도 좋을 것이다.
캠핑 떠나볼까? 캐주얼 스타일,프린트 티셔츠에 롱 스커트를 매치하여 심플한 데일리룩을 연출하였다. 귀걸이로 포인트를 주었다.
컬러 블라우스와 핀턱 반바지,셔링 티셔츠와 반바지를 매치하여 베이직한 스타일링을 하였다. 귀걸이로 러블리함을 더 하였다.
청순 데일리 룩 코디법,레이스 블라우스에 데님 팬츠를 매치하여 심플한 스타일링을 하였다. 샌들로 라인을 살려주었다.
중요한 자리에 필요한 원피스,스트랩 원피스에 체인 백과 샌들을 매치하여 결혼식 등 행사에 어울리는 스타일링을 하였다. 목걸이로 포인트를 주었다.
"꾸안꾸, 니트 원피스로 끝!",카라 원피스에 샌들을 매치하여 편안한 리조트룩을 연출하였다. 목걸이로 포인트를 주었다.
"스퀘어넥 블라우스, 제일 잘나가!",셔링 블라우스에 트임 팬츠를 매치하여 톤온톤 스타일링을 하였다. 샌들도 톤을 맞추어 연출하였다.
체크 미디 스커트로 살리는 에지!,레터링 티셔츠에 체크 스커트를 매치하여 키치한 스타일링을 하였다. 귀걸이로 포인트를 주었다.
바닷가에 어울리는 이지 코디,민소매 티셔츠에 데님 팬츠를 매치하여 이지 캐주얼룩을 연출하였다. 더운 낮에는 선글라스를 매치해도 좋을 것이다.
옐로우 컬러로 살리는 얼굴빛,버튼 민소매 니트에 부츠컷 팬츠를 매치하여 심플한 데일리룩을 연출하였다. 볼드한 귀걸이로 포인트를 주었다.
"심플한 게 최고, 린넨 숏 팬츠",브이넥 니트에 린넨 팬츠를 매치하여 베이직한 데일리룩을 연출하였다. 아이템은 블랙으로 톤을 맞추었다.
"파나마햇, 옐로우 코디와 찰떡!",린넨 원피스에 니트 모자를 매치하여 나들이 등에 어울리는 스타일링을 하였다. 팔찌로 포인트를 주었다.
"오피스 룩, 기본 실루엣을 살려라",퍼프 소매 블라우스에 하이웨스트 반바지를 매치하여 여성스러운 스타일링을 하였다. 귀걸이로 포인트를 주었다.
여름휴가 공항패션 코디,셔링 퍼프 니트에 와이드 팬츠를 매치하여 키치한 스타일링을 하였다. 라탄백으로 포인트를 주었다.
청순한 여친룩의 기본! 청바지,프릴 니트에 데님 팬츠를 매치하여 여성스러운 스타일링을 하였다. 드롭 귀걸이로 여성스러움을 더 하였다.
"반팔 린넨 재킷, 이렇게 연출하세요",린넨 자켓에 티셔츠와 커팅 팬츠를 매치하여 이지 캐주얼룩을 연출하였다. 아이템은 톤을 맞추어 연출하였다.
청량감 넘치는 여름 블루 컬러,린넨 블라우스에 부츠컷 진을 매치하여 베이직한 데일리룩을 연출하였다. 가죽 시계로 포인트를 주었다.
"여름 휴가, 바다에 어울리는 룩",민소매 티셔츠에 랩 스커트를 매치하여 리조트룩을 연출하였다. 드롭 귀걸이로 포인트를 주었다.
"친구 결혼식&가족 행사, 뭐 입지?",브이넥 블라우스에 체크 미디 스커트로 여성스러운 오피스룩을 연출하였다. 메탈 시계로 포인트를 주었다.
"랩 스커트 코디, 우리가 알려줄께!",자수 티셔츠에 프릴 랩 스커트를 매치하여 편안한 데일리룩을 연출하였다. 귀걸이로 포인트를 주었다.
원피스 하나로 코디 고민 날리기,잔체크 원피스와 목걸이로 리조트룩을 연출하였다. 샌들로 편안함을 더 하였다.
벨트 스커트로 완성하는 레이디 룩,슬릿 블라우스에 벨티드 스커트를 매치하여 결혼식 등 행사에 어울리는 스타일링을 하였다. 귀걸이로 포인트를 주었다.
해변에 어울리는 프릴 블라우스,잔꽃 프릴 블라우스에 데님 팬츠를 매치하여 유니크한 스타일링을 하였다. 귀걸이로 포인트를 주었다.
폭염에 좋은 30대 오피스 룩,A라인 롱 티셔츠에 솔리드 팬츠를 매치하여 이지 캐주얼룩을 연출하였다. 아이템은 톤을 맞추어 연출하였다.
"여친룩의 기본, 랩 블라우스!",리본 랩 니트에 데님 팬츠를 매치하여 시크한 스타일링을 하였다. 목걸이를 매치해도 좋을 것이다.
플라워 패턴 원피스로 여신 휴가룩,꽃무늬 롱 원피스에 니트백과 블로퍼를 매치하여 나들이에 어울리는 스타일링을 하였다. 더운 한낮에는 모자를 매치해도 좋을 것이다.
"놀러갈 때, 이보다 좋은 코디 있을까?",오픈넥 카라 니트에 데님 숏 팬츠를 매치하여 보이시한 캐주얼룩을 연출하였다. 벨트로 포인트를 주었다.
"여름 린넨 팬츠, 데일리로 입기",스트라이프 니트에 린넨 팬츠를 매치하여 오피스룩을 연출하였다. 메탈 시계로 포인트를 주었다.
뮤직 페스티벌에 어울리는 점프수트,린넨 반팔 티셔츠에 점프수트를 매치하여 유니크한 스타일링을 하였다. 팔찌로 포인트를 주었다.
"하객룩에 딱, 컬러 스커트 활용법",레이스 블라우스에 포인트 스커트를 매치하여 페미닌 룩을 연출하였다. 귀걸이로 포인트를 주었다.
"멋내고 싶을 땐, 롱 스커트",린넨 원버튼 자켓에 티셔츠와 플레어 스커트를 매치하여 러블리한 스타일링을 하였다. 크로스 백으로 귀여움을 더 하였다.
"휴가철, 비행기안에서도 좋은 공항패션",라운드넥 자켓에 티셔츠와 데님 팬츠를 매치하여 이지 캐주얼룩을 연출하였다. 라탄 쪼리로 편안함을 더 하였다.
얼굴 작아보이는 빅카라 블라우스,린넨 블라우스에 쉬폰 롱 스커트를 매치하여 러블리한 스타일링을 하였다. 버클 장식 슬리퍼로 편안함을 더 하였다.
"반팔 재킷, 시크한 올 블랙 코디",린넨 반팔 자켓에 티셔츠와 와이드 팬츠를 매치하여 시크한 스타일링을 하였다. 로퍼로 편안함을 더 하였다.
데이트에 어울리는 화이트 원피스,주름 롱 원피스에 오렌지 백으로 포인트를 주어 원포인트 스타일링을 하였다. 액세서리로 포인트를 주었다.
"퍼프 소매 린넨 자켓, 너무 예쁘죠?",린넨 자켓에 민소매 티셔츠와 숏 팬츠를 매치하여 시원한 스타일링을 하였다. 아이템은 톤을 맞추어 연출하였다.
얼굴 작아보이는 자켓형 블라우스 코디,자켓형 블라우스에 부츠컷 팬츠를 매치하여 베이직한 데일리룩을 연출하였다. 귀걸이로 포인트를 주었다.
와이드 팬츠로 완성하는 얼씨룩,쉬폰 블라우스에 와이드 팬츠를 매치하여 심플한 오피스룩을 연출하였다. 귀걸이로 포인트를 주었다.
퍼프소매 컬러 블라우스 코디!,레이스 블라우스에 체크 스커트를 매치하여 여성스러운 스타일링을 하였다. 귀걸이로 여성스러움을 더 하였다.
"린넨 재킷, 베이직 데일리룩",린넨 자켓에 티셔츠와 데님 숏팬츠를 매치하여 베이직한 데일리룩을 연출하였다.
누구나 잘 어울리는 청바지 코디,스트라이프 셔츠에 청바지를 매치하여 심플한 데일리룩을 연출하였다. 스니커즈로 편안함을 더 하였다.
라인 블라우스로 청순 여친룩,라인 블라우스에 컷팅 스키니진을 매치하여 여성스러운 스타일링을 하였다. 메탈 시계로 포인트를 주었다.
"페스티벌, 컬러풀한 패턴 롱 스커트",프린팅 티셔츠에 롱 스커트를 매치하여 키치한 스타일링을 하였다. 유니크한 백으로 포인트를 주었다.
랩 사선 스커트로 포인트 살렸어!,소매 포인트 티셔츠에 프릴 스커트를 매치하여 오피스룩을 연출하였다. 귀걸이로 포인트를 주었다.
발레리나를 떠오르게 하는 플리츠 스커트,슬림 가디건에 플리츠 스커트를 매치하여 러블리한 스타일링을 하였다. 목걸이로 포인트를 주었다.
여리여리한 느낌의 컬러 코디,파스텔톤 가디건에 민소매 티셔츠와 팬츠로 심플한 스타일링을 하였다. 목걸이를 매치해도 좋을 것이다.
여름에 실용적인 라탄백 코디,라운드넥 니트에 롱 스커트를 매치하여 톤온톤 스타일링을 하였다. 라탄 백으로 포인트를 주었다.
"여름 페스티벌 코디, 패턴 스커트",숏 가디건에 프린팅 랩 스커트를 매치하여 더운 날씨에 어울리는 스타일링을 하였다. 목걸이로 포인트를 주었다.
소개팅 나갈땐? 화이트 원피스,린넨 자켓에 펀칭 레이스 원피스를 매치하여 여성스러운 스타일링을 하였다. 귀걸이로 포인트를 주었다.
여름 트위드 재킷으로 우아하게,트위드 자켓에 프릴 티셔츠와 슬랙스를 매치하여 러블리한 스타일링을 하였다. 샌들로 라인을 살려주었다.
"꾸안꾸, 페스티벌 룩 바로 이것!",린넨 자켓에 스트라이프 티셔츠와 숏 팬츠로 이지 캐주얼룩을 연출하였다. 에코백으로 편안함을 더 하였다.
벨트로 날씬해보이는 하객룩,하프 자켓에 벨트 원피스를 매치하여 결혼식등 행사에 어울리는 스타일링을 하였다. 귀걸이로 포인트를 주었다.
반팔 재킷으로 시원한 오피스룩,칠부 자켓에 카라 니트와 팬츠를 매치하여 심플한 데일리룩을 연출하였다. 팔찌를 매치해도 좋을 것이다.
단아함과 차분함을 나타내는 뉴트럴 컬러,롱 린넨 자켓에 니트와 파스텔톤 팬츠를 매치하여 심플한 오피스룩을 연출하였다. 목걸이를 매치해도 좋을 것이다.
"나들이 코디, 시원한 체크 원피스",브이넥 가디건에 체크 원피스와 뮬 스니커즈를 매치하여 편안한 데일리룩을 연출하였다. 귀걸이로 포인트를 주었다.
기본 블랙&화이트 오피스 캐주얼 룩,더블 버튼 자켓에 프릴 티셔츠와 슬랙스를 매치하여 심플한 오피스룩을 연출하였다. 귀걸이 등을 매치해도 좋을 것이다.
꾸안꾸 룩의 기본은 플랫슈즈,캐주얼 점퍼에 티셔츠와 플레어 스커트를 매치하여 러블리한 스타일링을 하였다. 플랫슈즈로 포인트를 주었다.
버튼 롱 스커트로 심플하고 단아하게,린넨 포인트 자켓에 티셔츠와 미디 스커트를 매치하여 베이직한 데일리 스타일링을 하였다. 샌들로 라인을 살려주었다.
린넨 재킷에 독특한 가방 포인트,린넨 자켓에 골지 티셔츠와 데님 진을 매치하여 시크한 스타일링을 하였다. 플랫 슈즈로 편안함을 더 하였다.
"여름 초읽기, 체크 롱 스커트 어때요?",브이넥 가디건에 쉬폰 셔츠와 프릴 체크 스커트를 매치하여 여성스러운 스타일링을 하였다. 샌들로 라인을 살려주었다.
결혼식에 입고 갈 명품 하객룩 코디,셔츠 원피스에 메탈 시계를 매치하여 심플한 스타일링을 하였다. 귀걸이로 포인트를 주었다.
다리 길어보이는 부츠컷 데님,원버튼 크롭 자켓에 라운드넥 티쳐츠와 데님팬츠를 매치하여 심플한 데일리룩을 연출하였다. 귀걸이 등을 매치해도 좋을 것이다.
소개팅에 어울리는 화사한 오피스룩,벨티드 자켓에 프릴 블라우스와 슬랙스 팬츠를 매치하여 여성스러운 스타일링을 하였다. 펌프스로 라인을 살려주었다.
샤랄라~ 쉬폰 스커트로 끝내기 코디!,린넨 자켓에 티셔츠와 쉬폰 스커트를 매치하여 러블리한 스타일링을 하였다. 플랫슈즈로 러블리함을 더 하였다.
컬러 매치만 잘해도? Earthy 룩,7부 린넨 자켓에 니트와 부츠컷 팬츠를 매치하여 톤온톤 스타일링을 하였다. 아이템도 톤을 맞추어 연출하였다.
여름 필수품은 린넨 재킷!,린넨 체크 자켓에 반팔 티셔츠와 데님 팬츠를 매치하여 편안한 데일리룩을 연출하였다. 로퍼로 편안함을 더 하였다.
데이트나 결혼식에 필요한 건? 옷차림!,체크 싱글 자켓에 V넥 티셔츠와 롱 스커트를 매치하여 키치한 스타일링을 하였다. 슬링백으로 포인트를 주었다.
썸을 부르는 분홍색 코디,오픈 가디건에 티셔츠와 파스텔톤 팬츠를 매치하여 편안한 데일리룩을 연출하였다. 플랫으로 편안함을 더 하였다.
플로럴 롱 스커트로 ‘화사하게~’,점퍼와 레터링 티셔츠와 플리츠 쉬폰 스커트를 매치하여 봄나들이에 어울리는 스타일링을 하였다. 로퍼로 편안함을 더 하였다.
나들에 딱인 ‘꾸안꾸’ 룩의 정석,맨투맨 티셔츠에 롱 스커트를 매치하여 러블리한 스타일링을 하였다. 귀걸이로 포인트를 주었다.
베이직한 린넨 재킷 룩,린넨 자켓에 스트라이프 티셔츠와 데님 팬츠를 매치하여 편안한 데일리룩을 연출하였다. 스니커즈로 편안함을 더 하였다.
대학생을 위한 컬러 가디건,브이넥 가디건에 블라우스와 루즈핏 청바지를 매치하여 봄에 어울리는 스타일링을 하였다. 청바지는 롤업해서 매치하면 더욱 좋을 것이다.
"특별한 날, 플레어 스커트가 딱이야~",벨티드 코트에 플라워 블라우스와 플레어 스커트를 매치하여 결혼식 등에 어울리는 스타일링을 하였다. 귀걸이 등을 매치해도 좋을 것이다.
린넨 재킷으로 완성한 꾸안꾸룩,린넨 자켓에 V넥 니트와 파스텔 팬츠를 매치하여 키치한 스타일링을 하였다. 목걸이를 매치해도 좋을 것이다.
결혼식에 어울리는 심플 하객룩,심플 자켓에 A라인 롱 원피스를 매치하여 결혼식등 행사에 어울리는 스타일링을 하였다. 귀걸이로 포인트를 주었다.
여성스러운 프릴 블라우스 룩,더블 자켓에 프릴 블라우스와 슬랙스 팬츠를 매치하여 오피스룩을 연출하였다. 귀걸이를 매치해도 좋을 것이다.
"롤업 청바지, 청순 캠퍼스룩으로 딱!",숏 점퍼에 티셔츠와 롤업 데님을 매치하여 이지 캐주얼룩을 연출하였다. 스니커즈로 편안함을 더 하였다.
대학생들이 따라할 만한 데일리룩,솔리드 자켓에 기본 티셔츠와 랩 스커트를 매치하여 모노톤의 스타일링을 하였다. 크로스백으로 발랄함을 더 하였다.
재킷에 벨트 더해서 잘록한 허리!,체크 더블 자켓에 티셔츠와 레이스 스커트를 매치하여 로맨틱한 스타일링을 하였다. 벨트로 포인트를 주었다.
"화사한 블루, 스마트 캐주얼룩",트렌치 코트에 트임 티셔츠와 스트레이트 진을 매치하여 심플한 데일리룩을 연출하였다. 사이즈 오픈 힐로 라인을 살려주었다.
"친구 결혼식, 격식을 갖추자",데일러드 자켓에 티셔츠와 언발 스커트를 매치하여 여성스러운 스타일링을 하였다. 미들라인 구두로 포인트를 주었다.
소개팅 있을땐 화사한 컬러!,노카라 베이직 자켓에 프릴넥 블라우스에 슬림팬츠를 매치하여 파스텔톤 스타일링을 하였다. 아이템도 톤을 맞추어 연출하였다.
벚꽃놀이에서 사진 잘 찍히려면?,롱 자켓에 플로럴 원피스를 매치하여 러블리한 스타일링을 하였다. 귀걸이로 포인트를 주었다.
허리벨트로 개미허리 만들기,헤링본 벨티드 자켓에 티셔츠와 니트 스커트로 키치한 스타일링을 하였다. 벨트로 라인을 살려주었다.
클래식한 체크패턴의 무한매력,체크 롱 코트에 가디건과 H라인 스커트를 매치하여 오피스룩을 연출하였다. 포인트 목걸이를 매치해도 좋을 것이다.
트렌치코트로 완성하는 출근룩은?,트렌치 코트에 셔츠와 부츠컷 슬랙스를 매치하여 시크한 스타일링을 하였다. 메탈 시계를 매치해도 좋을 것이다.
테일러드 재킷으로 단아한 룩,테일러드 자켓에 티셔츠와 부츠컷 데님을 매치하여 베이직한 데일리룩을 연출하였다. 백으로 컬러 포인트를 주었다.
아직 춥네~ 핸드메이드 트렌치 룩으로 편안하게!,
"'컨버스 코디' 편안하게 봄나들이~ 봄,봄,봄",
다들 나만봐~ 친구 하객룩 베스트 코디 이것!,
단아하게 보이고 싶은 날엔 #OOTD,
클래식 체크 더블 재킷의 매력,체크 더블자켓에 긴팔 티셔츠와 부츠컷 데님팬츠를 매치하여 봄에 어울리는 스타일링을 하였다. 스텔레토 힐로 라인을 살려주었다.
벚꽃이 생각나는 숏기장 트렌치코트,숏기장 트렌치에 플라워 블라우스와 데님 스커트를 매치하여 키치한 스타일링을 하였다. 복조리 백으로 포인트를 주었다.
"SNS 패피되고 싶다면, 일자바지!",테일러드 자켓에 블라우스와 배기 팬츠를 매치하여 매니시한 스타일링을 하였다. 스니커즈로 편안함을 더 하였다.
회사갈때 뭐입지? 신입사원 룩,롱 자켓에 레이스 블라우스와 H라인 스커트를 매치하여 러블리한 스타일링을 하였다. 스트랩 슈즈로 귀여움을 더 하였다.
"친구 결혼식, 돋보이는 하객룩!",체크 코트에 넥포인트 플레어 원피스를 매치하여 결혼식 등 행사에 어울리는 스타일링을 하였다. 귀걸이로 포인트를 주었다.
클래식 체크자켓 입어보기,롱 자켓에 반폴라 니트와 언발 스커트로 페미닌 룩을 연출하였다. 펌프스로 포인트를 주었다.
"봄을 기다리며, 트렌치코트",페미닌 트렌치 코트에 가디건과 일자 팬츠로 봄을 기다리는 오피스룩을 연출하였다. 시계 등의 액세서리를 매치해도 좋을 것이다.
"하객룩의 기본, 클래식 트위드 재킷",트위드 자켓에 블라우스와 랩스커트를 매치하여 심플한 오피스룩을 연출하였다. 귀걸이를 매치해도 좋을 것이다.
벨티드 코트가 유행이라며?,벨트 포인트 더블 자켓에 티셔츠와 슬랙스를 매치하여 봄에 어울리는 데일리룩을 연출하였다. 로퍼로 포인트를 주었다.
몸매를 가려주는 일자핏 자켓,싱글 롱 자켓에 프릴 블라우스와 H라인 스커트를 매치하여 오피스룩을 연출하였다. 하이힐로 라인을 살려주었다.
트렌치코트로 완성하는 시크룩,트렌치 롱 코트에 베이직 티셔츠와 데님 팬츠를 매치하여 시크한 스타일링을 하였다. 미듐 숄더백으로 포인트를 주었다.
키치한 플리츠 스커트 룩,더블 자켓에 슬림니트와 롱스커트를 매치하여 키치한 스타일링을 하였다. 금장 플랫 단화로 포인트를 주었다.
샤랄라 봄에는 쉬폰 원피스~,심플 롱자켓에 프릴 원피스를 매치하여 다가오는 봄에 어울리는 스타일링을 하였다. 귀걸이로 포인트를 주었다.
신입사원을 위한 신상 오피스룩,핸드메이드 롱 코트에 배색 니트와 H라인 스커트를 매치하여 심플한 오피스룩을 연출하였다. 손목 시계를 매치해도 좋을 것이다.
파스텔 컬러로 연출한 데일리룩,핸드 메이드 코트에 브이넥 블라우스에 부츠컷 팬츠를 매치하여 파스텔톤의 스타일링을 하였다.
신입사원을 위한 신상 오피스룩,더블 체크 자켓에 니트와 A라인 스커트를 매치하여 러블리한 스타일링을 하였다. 삭스부츠로 라인을 살려주었다.
캠퍼스를 빛내는 봄 개강룩!,체크 더블 자켓에 앙고라 니트와 데님 팬츠를 매치하여 베이직한 데일리룩을 연출하였다. 파스텔톤 로퍼 힐로 포인트를 주었다.
여성미를 강조한 트위드 코디!,울 코트에 스웨터와 트위드 미니 스커트를 매치하여 러블리한 스타일링을 하였다. 벨벳 버킷백으로 포인트를 주었다.
"더블형 코트+브이넥 니트, 얼굴 작아보여!",더블형 코트에 V넥 니트와 슬랙스를 매치하여 심플한 오피스룩을 연출하였다. 귀걸이 등을 매치해도 좋을 것이다.
"봄 기운, 플레어 스커트에 담아보자",캐시미어 코트에 스카프 니트와 롱 스커트를 매치하여 톤온톤 스타일링을 하였다. 리본 플랫으로 발랄함을 더 하였다.
개강 캠퍼스룩 고민 고민하지마~,헤링본 자켓에 라운드넥 니트와 부츠컷 데님을 매치하여 시크한 스타일링을 하였다. 로퍼로 편안함을 더 하였다.
체크스커트로 완성하는 3월 스쿨룩,핸드메이드 코트에 라운드 니트와 체크 치마바지를 매치하여 여성스러운 스타일링을 하였다. 슬링백으로 라인을 살려주었다.
"특별한 날, 하객룩은 플리츠 스커트!",핸드메이드 코트에 캐시미어 니트와 플리츠 스커트를 매치하여 키치한 스타일링을 하였다. 로퍼는 톤을 맞춰서 연출하였다.
뉴트로 룩을 완성해주는 카라 니트,핸드메이드 롱 코트에 카라 니트와 미디 스커트를 매치하여 오피스룩을 연출하였다. 펌프스로 라인을 살려주었다.
회사갈때 뭐입지? 체크 코트룩!,체크 코트에 앙고라 니트와 부츠컷 팬츠를 매치하여 심플한 데일리룩을 연출하였다. 귀걸이 등 액세서리를 매치해도 좋을 것이다.
아직은 추워~ 스타일 살려주는 무스탕 룩,스웨이드 무스탕에 목폴라 니트와 체크 스커트를 매치하여 걸리쉬 룩을 연출하였다. 아이템은 블랙으로 매치하였다.
롤업 데님으로 귀염뽀짝 코디,베이직 모직 점퍼에 니트와 롤업 데님 팬츠를 매치하여 이지캐주얼룩을 연출하였다. 로퍼에 삭스로 포인트를 주어도 좋을 것이다.
캠퍼스에 딱! 투포켓 이지 캐주얼룩,투포켓 점퍼에 니트와 데님 진을 매치하여 이지 캐주얼룩을 연출하였다. 스니커즈로 편안함을 더 하였다.
소개팅엔 멜빵 원피스죠~,라마 코트에 목폴라 티셔츠에 트위드 원피스를 레이어드하여 러블리한 스타일링을 하였다. 귀걸이 등을 매치해도 좋을 것이다.
"봄맞이 체크 재킷, 시크한 스타일링!",체크 롱 자켓에 골지 니트와 부츠컷 슬랙스로 시크한 스타일링을 하였다. 벨트로 포인트를 주었다.
컬러 니트로 캐주얼하게 ‘봄을 기다려~',핸드메이드 숏 자켓에 라운드 스웨터와 인디고 팬츠를 매치하여 봄을 맞이하는 스타일링을 하였다.  플랫 슈즈로 발랄함을 더 하였다.
"핸드메이드 코트, 내가 제일 우아해",핸드메이드 코트에 니트와 롱 스커트를 매치하여 페미닌 룩을 연출하였다. 앵클부츠로 라인을 살려주었다.
"체크스커트, 스쿨룩 느낌의 오피스룩",루즈핏 코트에 라운드 니트와 체크 스커트를 매치하여 러블리한 스타일링을 하였다. 로퍼로 귀여움을 더 하였다.
체크 코트에 컬러 스웨터 오피스룩!,슬림핏 코트에 니트와 스커트를 매치하여 오피스룩을 연출하였다. 펌프스로 라인을 살려주었다.
봄까지 입을 수 있는 리빙코랄 앙고라니트!,"여자, 오늘의 코디!"
편안한게 최고지~ 심플 룩,아웃포켓 롱코트에 롱 니트와 부츠컷 팬츠를 매치하여 베이직 데일리룩을 연출하였다. 앵클부츠로 포인트를 주었다.
"귀엽거나 or 여성스럽거나, 둘 다 만족!",덤블 숏 점퍼에 니트 원피스를 매치하여 귀여운 스타일링을 하였다. 머플러로 따뜻함을 더 하였다.
"봄을 기다리며, 화사한 롱 스커트!",롱 코트에 반폴라 니트와 도트 롱스커트를 매치하여 러블리한 스타일링을 하였다. 플랫슈즈로 귀여움을 더 하였다.
라운드 니트로 완성하는 ‘모던 오피스룩’,울 코트에 비즈 장식 라운드 니트와 하이웨스트 슬랙스를 매치하여 심플한 오피스룩을 연출하였다. 귀걸이 등 액세서리를 매치해도 좋을 것이다.
"프리미엄, 스카이캐슬 맘들의 패딩룩?",퀼팅 구스다운 점퍼에 라운드 니트와 H라인 스커트를 매치하여 여성스러운 스타일링을 하였다. 다운 점퍼에 벨트로 여성스러움을 더 하였다.
얼굴 작아 보이는 울 빅카라 코트,울 코트에 터틀넥 니트와 머메이드 스커트를 매치하여 오피스룩을 연출하였다. 앵클부츠로 라인을 살려주었다.
히든 버튼으로 품격 높이기!,핸드메이드 코트에 프릴 장식 니트와 트위드 스커트를 매치하여 페미닌 룩을 연출하였다.
"체크 코트에 베이직 로퍼, 모던 학생룩",체크 패턴 슬림 핏 롱 코트에 울 니트와 부츠컷 팬츠를 매치하여 심플한 데일리룩을 연출하였다. 베이직 로퍼에 삭스를 매치해도 좋을 것이다.
상위 0.1% 스카이캐슬 룩 따라잡기,테일러드 롱 코트에 원피스를 매치하여 결혼식 등 행사에 어울리는 스타일링을 하였다. 귀걸이로 포인트를 주었다.
스키장갈 때 입어도 좋을 롱패딩,패딩 점퍼에 라운드넥 니트와 데님 팬츠를 매치하여 이지 캐주얼룩을 연출하였다. 장갑으로 따뜻함을 더 하였다.
고급스러운 맘 패션 ‘체크 코트로 해결’,하운드 투스 롱 코트에 골지 티셔츠와 블랙진으로 시크한 스타일링을 하였다. 로퍼에는 검정색 삭스를 매치하면 좋을 것이다.
남자친구가 좋아해~ 오늘의 데이트 코디,롱 코트에 V넥 니트와 체크 스커트를 매치하여 발랄한 스타일링을 하였다. 머플러를 매치해도 좋을 것이다.
상위 0.1% 클래식한 스쿨 룩 느낌!,누빔 롱 코트에 골지 니트와 트임 스커트를 매치하여 페미닌한 스타일링을 하였다. 앵클부츠로 라인을 살려주었다.
‘귀여움 뿜뿜’ 면바지와 터틀넥 니트,핸드메이드 숏 코트에 터틀 니트와 베이직한 바지를 매치하여 보이시한 스타일링을 하였다. 바지는 롤업하여 삭스와 매치해도 좋을 것이다.
"러블리, 사랑스러운 플로럴 원피스",울 롱코트에 폴라 티셔츠와 롱 원피스를 레이어드 매치하여 러블리한 스타일링을 하였다. 버킷백으로 포인트를 주었다.
